mid,name,view,likes,follower,type
17409016,爱做饭的芋头SAMA,143451614,9147520,3806180,生活区
7552204,啊吗粽,128094138,11755894,2208595,生活区
38351330,阿幕降临,140447648,8281600,1809819,动画区
22141287,波桑吃遍世界,87504914,5169134,1369696,美食区
113362335,宝剑嫂,117381791,10910288,2784606,时尚区
3682229,长歌与小见见,411240588,8251577,1989123,游戏区
585267,‘-纯黑-,325071845,4244416,2955095,游戏区
94114029,吃货请闭眼,152770635,4780952,1475350,美食区
216623621,吃货明3,256808966,4301702,1300894,游戏区
19071708,潮汕好男人,160683716,6828250,1487463,鬼畜区
2403047,嘟督不噶油,229842353,9380796,2684989,游戏区
234256,逗川kshadow,148312062,3734215,1677748,游戏区
285499073,东尼ookii,172569088,15378368,2426142,生活区
17819768,电影最TOP,195529405,4285530,2721387,影视区
99157282,盗月社食遇记,274484586,10931609,2836260,美食区
40966108,倒悬的橘子,108314110,4717517,1059806,鬼畜区
2920960,大祥哥来了,334513595,16029700,3663304,美食区
1918296,丰兄来了,83329842,6465492,1364515,游戏区
72270557,芳斯塔芙,61628402,3848788,1299299,科技区
63231,泛式,171745471,10453055,2796658,动画区
4474705,孤独的美食基,172492607,7794464,2888574,美食区
216025,尕丶天堂,111751745,3498521,1302144,动画区
2206456,花少北丶,192426224,10649963,3261090,游戏区
9008159,花花与三猫CatLive,297590172,21734256,2859178,生活区
43536,黑桐谷歌,242184130,6098638,2163805,游戏区
14254182,黑椒墨鱼,96928422,3132187,1311682,游戏区
7792521,还有一天就放假了,162064027,6344084,1632304,鬼畜区
36825256,槐安遗梦,104918074,5488098,1228542,游戏区
3379951,ilem,81239435,2554607,1359941,音乐区
9824766,敬汉卿,1086701464,53725607,8411236,生活区
104207471,杰里德Jared,103625530,4667780,1889548,生活区
337521240,记录生活的蛋黄派,328508258,19594460,3668333,美食区
25876945,极客湾Geekerwan,52611861,2250770,1274941,数码区
466272,机智的党妹,240124729,18016583,5440979,时尚区
1893045,狂风桑,85485574,3681524,1461309,音乐区
3766866,科技美学,265358598,6019887,2718323,数码区
279991456,靠谱电竞,144340195,9867244,1733535,游戏区
16794231,靠脸吃饭的徐大王,644692337,15592303,3473753,游戏区
10345615,Kevin英语情报局,85190308,3160585,1398263,生活区
16853896,kei和marin,88597293,3447017,1365749,生活区
423442,KBShinya,120432936,4984515,1618238,音乐区
51896064,罗汉解说,113025371,12451582,2611070,游戏区
79061224,刘老师说电影,319654295,9068562,2589305,影视区
282994,泠鸢yousa,74317952,5288783,2377283,音乐区
14110780,凉风Kaze,475737911,36616818,6006214,动画区
19642758,力元君,166538445,10583096,2269202,生活区
279583114,老坛胡说,83044445,6784573,1746848,生活区
163637592,老师好我叫何同学,91733138,10689611,4155110,数码区
546195,老番茄,1017999623,44171132,10706184,游戏区
250111460,蜡笔和小勋,58849104,5136363,2638872,生活区
11870568,拉宏桑,96847314,7504604,1844228,生活区
777536,LexBurner,776108153,27861249,7945071,动画区
927587,木鱼水心,492625045,9146480,4203567,影视区
1577804,某幻君,283868668,12946555,4949490,游戏区
2374194,墨韵Moyun,62511369,2633341,1787808,音乐区
18202105,绵羊料理,169034710,10011802,3659853,美食区
24314825,猫店,85624725,3505574,1033052,鬼畜区
17546432,马壮实Hera,78163959,3596860,1475779,美食区
7487399,努力的Lorre,368448662,11248056,3152916,动画区
6574487,纳豆奶奶,219036562,16772166,3905531,生活区
6171645,OELoop,167877882,5487489,1321684,鬼畜区
423895,怕上火暴王老菊,386991600,6093859,2292543,游戏区
8034163,浅澄月,90244575,4123696,1089556,鬼畜区
515993,枪弹轨迹,140447586,7730026,1377741,鬼畜区
1565155,起小点是大腿,774689256,8335801,3276029,游戏区
5293668,齐天大肾余潇洒,39962363,3002137,1083525,影视区
284120,三无Marblue,77471706,3608926,1728127,音乐区
1950209,水一大魔王,94411695,3909029,1147246,游戏区
37946996,守护茶茶,72791078,3841864,1579478,游戏区
280793434,手工耿,238419064,9859374,3517415,生活区
257975429,十音Shiyin,47907440,3154823,1228565,时尚区
4162287,渗透之C君,363057698,10641856,4950651,游戏区
3380239,神奇的老皮,105892485,5135072,1850794,生活区
295711424,神秘店长A,116246710,4200205,1917880,游戏区
1643718,山下智博,375282882,5351991,2617645,生活区
7349,STN工作室,268075927,5141067,1460345,游戏区
10462362,天天卡牌,687973860,8051748,2144537,游戏区
176037767,我是郭杰瑞,463339375,15317439,4758749,生活区
4408538,我是怪异君,72084710,2221052,1400441,影视区
265059948,温柔JUNZ,58094789,11480608,1917984,生活区
32820037,歪果仁研究协会,232431817,10779523,3523092,生活区
13354765,徐大虾咯,386283509,18902890,4494239,生活区
390461123,徐大sao,698506989,25591192,4016062,美食区
8366990,‘欣小萌-,149147499,5320208,2417537,舞蹈区
10119428,小小片说大片,281740366,11869945,2186599,影视区
185546,小可儿,8841117,2228720,1381946,音乐区
5970160,小潮院长,215237661,14671118,2591581,游戏区
168598,逍遥散人,327013025,10912740,3974350,游戏区
196356191,翔翔大作战,850258471,26288165,5928980,美食区
3957971,贤宝宝Baby,280007042,13632774,2809562,美食区
35359510,远古时代装猿机,132567136,4252727,1885338,数码区
26240675,与山0v0,156362864,11742256,1655722,游戏区
946974,影视飓风,36699273,2408987,1267524,数码区
375375,伊丽莎白鼠,340648376,7503714,5130361,鬼畜区
322892,痒局长,170516487,5696926,2511905,游戏区
116683,’=咬人猫=,243876343,4827377,3127271,舞蹈区
437316738,朱一旦的枯燥生活,608290967,25930873,4064442,生活区
62540916,周六野Zoey,280355672,5847836,5605995,时尚区
562197,中国BOY超级大猩猩,770557384,23674925,5030335,游戏区
326246517,zettaranc,48397697,3601101,1442561,时尚区
