,bvid,owner,type,type_name,title,view,favorite,coin,share,time,length
43,BV1f441177Ti,38351330,171,电子竞技,LOL黑铁段位宣传片之孤儿真实,1101913,4017,4733,3290,2019-05-18 19:03:09,00:43
48,BV1B4411E7UW,38351330,171,电子竞技,【MSI小剧场】粉丝万人血书求TheShy莽一把瑞文！,368940,1395,1874,922,2019-05-14 18:14:04,00:30
49,BV1u4411a76Y,38351330,171,电子竞技,我进来就看见一个沙雕亚索在强杀敌方塔下残血,1475647,3422,3087,3067,2019-05-12 15:31:47,00:24
50,BV124411Y7Xx,38351330,171,电子竞技,我方亚索打团,3073049,9093,7416,7579,2019-05-10 19:35:49,00:16
51,BV1ht411S7yx,38351330,27,综合,小红是一个泪点低的人...【沙雕动画第8期】,1944315,8797,13266,3708,2018-12-07 10:59:38,01:11
52,BV1mt411D7FU,38351330,27,综合,未来人类第三次世界大战！【沙雕动画第7期】,1731045,7684,11457,1490,2018-12-03 19:34:12,01:49
53,BV1vt41197zF,38351330,27,综合,恨不得让Ta当场去世的3种人！【沙雕动画第6期】,1507955,15385,27781,6619,2018-11-26 17:26:52,01:08
54,BV1dt411C7fC,38351330,27,综合,感恩节你最容易忽略对它们的感恩【沙雕动画第5期】,938321,4850,7819,1820,2018-11-22 23:42:55,01:02
56,BV1ot41117My,38351330,138,搞笑,我的沙雕朋友有强迫症！【沙雕动画第4期】,2009029,14956,46062,3016,2018-11-20 21:00:07,00:49
55,BV14t411m7Gr,38351330,138,搞笑,当代我国年轻人一天（空闲时间）分配【沙雕动画第3期】,2118292,19091,31072,13151,2018-11-17 21:52:17,00:45
58,BV1at41127RV,38351330,27,综合,当代我国单身男女婚恋情况【沙雕动画第2期】,1278605,6226,9693,3929,2018-11-14 19:50:28,00:48
57,BV1at411U7Pj,38351330,27,综合,我国当代青年现状！【沙雕动画第1期】,2335722,13674,19650,7027,2018-11-12 15:46:11,00:39
